"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"10.11.29.102","56421","10.11.29.1","53","DNS","74","","","40",""
"10.11.29.1","53","10.11.29.102","56421","DNS","301","","","267",""
"10.11.29.102","49225","159.100.182.89","80","TCP","66","8192","0","",""
"159.100.182.89","80","10.11.29.102","49225","TCP","60","64240","0","",""
"10.11.29.102","49225","159.100.182.89","80","TCP","60","64240","0","",""
"10.11.29.102","49225","159.100.182.89","80","HTTP","122","64240","68","","GET"
"159.100.182.89","80","10.11.29.102","49225","TCP","60","64240","0","",""
"159.100.182.89","80","10.11.29.102","49225","HTTP","644","64240","590","",""
"10.11.29.102","54793","10.11.29.1","53","DNS","73","","","39",""
"10.11.29.1","53","10.11.29.102","54793","DNS","300","","","266",""
"10.11.29.102","49226","212.26.128.171","80","TCP","66","8192","0","",""
"10.11.29.102","49225","159.100.182.89","80","TCP","60","63650","0","",""
"212.26.128.171","80","10.11.29.102","49226","TCP","60","64240","0","",""
"10.11.29.102","49226","212.26.128.171","80","TCP","60","64240","0","",""
"10.11.29.102","49226","212.26.128.171","80","HTTP","121","64240","67","","GET"
"212.26.128.171","80","10.11.29.102","49226","TCP","60","64240","0","",""
"212.26.128.171","80","10.11.29.102","49226","HTTP","589","64240","535","",""
"10.11.29.102","50146","10.11.29.1","53","DNS","84","","","50",""
"10.11.29.1","53","10.11.29.102","50146","DNS","163","","","129",""
"10.11.29.102","49227","94.73.150.221","80","TCP","66","8192","0","",""
"10.11.29.102","49226","212.26.128.171","80","TCP","60","63705","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","60","64240","0","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"10.11.29.102","49227","94.73.150.221","80","HTTP","138","64240","84","","GET"
"94.73.150.221","80","10.11.29.102","49227","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","586","64240","532","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","818","64240","764","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1514","64240","1460","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1050","64240","996","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","63012","0","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"94.73.150.221","80","10.11.29.102","49227","TCP","1282","64240","1228","",""
"10.11.29.102","49227","94.73.150.221","80","TCP","60","64240","0","",""
