@relation allTrafficSignatureBasedData

@attribute SourceIP1 numeric
@attribute SourceIP2 numeric
@attribute SourceIP3 numeric
@attribute SourceIP4 numeric

@attribute SourcePort numeric

@attribute DestinationIP1 numeric
@attribute DestinationIP2 numeric
@attribute DestinationIP3 numeric
@attribute DestinationIP4 numeric

@attribute DestinationPort numeric

@attribute Protocol {HTTP,TCP,TLSv1,HTTP/XML,SSDP,DHCP,LLMNR,UDP,NBNS,SSLv2,NAT-PMP,SMB,NBSS,DNS,MSNMS,SSLv3,ICMP,RTCP,BROWSER,SNMP,DB-LSP-DISC,SSL}

@attribute Length numeric
@attribute TCPWindowSize numeric
@attribute TCPLength numeric
@attribute UDPLength numeric
@attribute HTTPRequestMethod {GET,POST,M-SEARCH,HEAD,None}

@attribute Signature {Normal,JexBossExploit,NeutrinoExploit,W32/SdbotInfected,PacketInjection,Malspam}

@data
0.5098039215686274,0.4588235294117647,0.2823529411764706,0.39215686274509803,0.0067596435546875,0.6745098039215687,0.06274509803921569,1.0,0.00392156862745098,0.162322998046875,TLSv1,0.35095039406583217,0.02742787173796587,0.3427230046948357,0.0,None,Normal
0.2549019607843137,0.21176470588235294,0.37254901960784315,0.26666666666666666,0.001220703125,0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.861114501953125,TCP,0.35095039406583217,0.3854595546031989,0.3427230046948357,0.0,None,Normal
0.2980392156862745,0.2901960784313726,0.5490196078431373,0.6588235294117647,0.001220703125,0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8594818115234375,TCP,0.013908205841446454,0.02742787173796587,0.0,0.0,None,Normal
0.8,0.054901960784313725,0.9176470588235294,0.3333333333333333,0.1288299560546875,0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8734893798828125,TCP,0.013908205841446454,0.11159791842044846,0.0,0.0,None,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.26702880859375,0.7529411764705882,0.6588235294117647,0.011764705882352941,1.0,0.26702880859375,DB-LSP-DISC,0.037552155771905425,0.0,0.0,0.1532934131736527,None,Normal
0.0392156862745098,0.0,0.00784313725490196,0.058823529411764705,0.0387115478515625,0.2549019607843137,0.21568627450980393,0.058823529411764705,0.9568627450980393,0.0836181640625,HTTP,0.20468242929995364,0.24238539833167522,0.19460093896713615,0.0,GET,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8825531005859375,0.2823529411764706,0.054901960784313725,0.8352941176470589,0.5764705882352941,0.001220703125,TCP,0.012517385257301807,0.06292569067115635,0.0,0.0,None,Normal
0.8,0.054901960784313725,0.9176470588235294,0.3333333333333333,0.0067596435546875,0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8734588623046875,TCP,0.35095039406583217,0.09665569755873575,0.3427230046948357,0.0,None,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8538665771484375,0.2549019607843137,0.21568627450980393,0.0196078431372549,0.9058823529411765,0.001220703125,HTTP,0.18845618915159945,0.24581005586592178,0.17816901408450705,0.0,GET,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8551025390625,0.2549019607843137,0.21176470588235294,0.37254901960784315,0.5490196078431373,0.001220703125,HTTP,0.15159944367176634,0.25139664804469275,0.14084507042253522,0.0,GET,Normal
0.7529411764705882,0.6588235294117647,0.00392156862745098,0.00392156862745098,0.0156402587890625,0.7529411764705882,0.6588235294117647,0.00392156862745098,0.996078431372549,0.0008087158203125,DNS,0.018776077885952713,0.0,0.0,0.0562874251497006,None,W32/SdbotInfected
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8622894287109375,0.2549019607843137,0.21176470588235294,0.37254901960784315,0.26666666666666666,0.001220703125,TCP,0.012517385257301807,0.25139664804469275,0.0,0.0,None,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8538360595703125,0.2549019607843137,0.21568627450980393,0.0196078431372549,0.9098039215686274,0.001220703125,TCP,0.012517385257301807,0.24581005586592178,0.0,0.0,None,Normal
0.2549019607843137,0.21176470588235294,0.37254901960784315,0.26666666666666666,0.001220703125,0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.857147216796875,TCP,0.35095039406583217,0.3854595546031989,0.3427230046948357,0.0,None,Normal
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8550872802734375,0.2549019607843137,0.21176470588235294,0.37254901960784315,0.5490196078431373,0.001220703125,HTTP,0.15159944367176634,0.25139664804469275,0.14084507042253522,0.0,GET,Normal
0.7529411764705882,0.6588235294117647,0.01568627450980392,0.792156862745098,0.8462982177734375,0.2901960784313726,0.8156862745098039,0.403921568627451,0.03137254901960784,0.001220703125,TCP,0.015299026425591099,0.25216193464452435,0.0,0.0,None,NeutrinoExploit
0.7529411764705882,0.6588235294117647,0.011764705882352941,0.5137254901960784,0.8010406494140625,0.2823529411764706,0.054901960784313725,0.8352941176470589,0.47058823529411764,0.0067596435546875,TLSv1,0.05377839592025962,0.2517027626846254,0.04178403755868545,0.0,None,Normal
