"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"69.89.27.239","80","10.65.170.58","51361","HTTP","990","30080","924","",""
"10.65.170.58","51361","69.89.27.239","80","TCP","66","16448","0","",""
"10.65.170.58","80","192.168.200.1","56988","HTTP","338","16624","272","",""
"192.168.200.1","56988","10.65.170.58","80","TCP","66","34688","0","",""
"10.65.170.58","80","192.168.200.1","56988","TCP","66","16624","0","",""
"192.168.200.1","56988","10.65.170.58","80","HTTP","316","34688","250","","GET"
"10.65.170.58","80","192.168.200.1","56988","TCP","66","17696","0","",""
"192.168.200.1","56988","10.65.170.58","80","TCP","66","34688","0","",""
"10.65.170.58","80","192.168.200.1","56988","TCP","66","17696","0","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","74","29200","0","",""
"10.65.170.58","80","192.168.200.1","56990","TCP","74","14480","0","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","66","29312","0","",""
"192.168.200.1","56990","10.65.170.58","80","HTTP","316","29312","250","","GET"
"10.65.170.58","80","192.168.200.1","56990","TCP","66","15552","0","",""
"10.65.170.58","80","192.168.200.1","56990","HTTP","358","15552","292","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","66","30336","0","",""
"192.168.200.1","56990","10.65.170.58","80","HTTP","274","30336","208","","GET"
"10.65.170.58","80","192.168.200.1","56990","TCP","66","16624","0","",""
"10.65.170.58","80","192.168.200.1","56990","HTTP","357","16624","291","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","66","31360","0","",""
"69.89.27.239","80","10.65.170.58","51361","TCP","66","30080","0","",""
"10.65.170.58","51361","69.89.27.239","80","TCP","66","16448","0","",""
"69.89.27.239","80","10.65.170.58","51361","TCP","66","30080","0","",""
"10.65.170.58","80","192.168.200.1","56990","TCP","66","16624","0","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","66","31360","0","",""
"192.168.200.1","56990","10.65.170.58","80","TCP","66","31360","0","",""
"10.65.170.58","80","192.168.200.1","56990","TCP","66","16624","0","",""
"192.168.200.1","56992","10.65.170.58","80","TCP","74","29200","0","",""
"10.65.170.58","80","192.168.200.1","56992","TCP","74","14480","0","",""
"192.168.200.1","56992","10.65.170.58","80","TCP","66","29312","0","",""
"192.168.200.1","56992","10.65.170.58","80","HTTP","286","29312","220","","GET"
"10.65.170.58","80","192.168.200.1","56992","TCP","66","15552","0","",""
"10.65.170.58","80","192.168.200.1","56992","HTTP","474","15552","408","",""
"192.168.200.1","56992","10.65.170.58","80","TCP","66","30336","0","",""
"192.168.200.1","56992","10.65.170.58","80","HTTP","296","30336","230","","GET"
"10.65.170.58","80","192.168.200.1","56992","TCP","66","16624","0","",""
"10.65.170.58","80","192.168.200.1","56992","HTTP","384","16624","318","",""
"192.168.200.1","56992","10.65.170.58","80","HTTP","280","31360","214","","GET"
"10.65.170.58","80","192.168.200.1","56992","TCP","66","17696","0","",""
"10.65.170.58","80","192.168.200.1","56992","HTTP","397","17696","331","",""
"192.168.200.1","56992","10.65.170.58","80","TCP","66","32512","0","",""
"10.65.170.58","80","192.168.200.1","56992","TCP","66","17696","0","",""
"192.168.200.1","56992","10.65.170.58","80","TCP","66","32512","0","",""
"fe:ff:ff:ff:ff:ff","","22:00:0a:41:aa:3a","","ARP","42","","","",""
"22:00:0a:41:aa:3a","","fe:ff:ff:ff:ff:ff","","ARP","42","","","",""
"fe:ff:ff:ff:ff:ff","","22:00:0a:41:aa:3a","","ARP","42","","","",""
"22:00:0a:41:aa:3a","","fe:ff:ff:ff:ff:ff","","ARP","42","","","",""
